Block #	LOCATION ID	column	row	position
1	D23	25	4	a
2	D23	25	4	b
3	D23	25	4	c
4	D23	25	4	d
5	C23	25	3	a
6	C23	25	3	b
7	C23	25	3	c
8	C23	25	3	d
9	D22	24	4	a
10	D22	24	4	b
11	D22	24	4	c
12	D22	24	4	d
14	C22	24	3	a
15	C22	24	3	b
16	C22	24	3	c
19	C22	24	3	d
20	D21	23	4	a
41	D21	23	4	b
50	D21	23	4	c
54	D21	23	4	d
59	C21	23	3	a
86	C21	23	3	b
92	C21	23	3	c
98	C21	23	3	d
104	D20	22	4	a
121	D20	22	4	b
146	D20	22	4	c
215	D20	22	4	d
227	C20	22	3	a
231	C20	22	3	b
233	C20	22	3	c
237	C20	22	3	d
239	C19	21	3	a
241	D19	21	4	f
242	D19	21	4	c
243	D19	21	4	e
244	D19	21	4	h
246	C19	21	3	b
256	C19	21	3	c
267	C19	21	3	d
274	D18	20	4	a
285	D18	20	4	b
297	D18	20	4	c
311	D18	20	4	d
335	C18	20	3	a
356	C18	20	3	b
361	C18	20	3	c
368	C18	20	3	d
378	D17	19	4	a
427	D17	19	4	b
439	D17	19	4	c
545	D17	19	4	d
612	C17	19	3	a
655	C17	19	3	b
661	C17	19	3	c
667	C17	19	3	d
726	D16	18	4	a
735	D16	18	4	b
765	D16	18	4	c
792	D16	18	4	d
821	C16	18	3	a
956	C16	18	3	b
968	C16	18	3	c
980	C16	18	3	d
1017	D15	17	4	a
1039	D15	17	4	b
1057	D15	17	4	c
1066	D15	17	4	d
1068	C15	17	3	a
1080	C15	17	3	b
1091	C15	17	3	c
1102	C15	17	3	d
1130	D14	16	4	a
1139	D14	16	4	b
1150	D14	16	4	c
1268	D14	16	4	d
1289	C14	16	3	a
1309	C14	16	3	b
1315	C14	16	3	c
1356	C14	16	3	d
1362	D13	15	4	a
1364	D13	15	4	b
1392	D13	15	4	c
1395	D13	15	4	d
1408	C13	15	3	a
1416	C13	15	3	b
1451	C13	15	3	c
1453	C13	15	3	d
1496	D12	12	4	a
1557	D12	12	4	b
1654	D12	12	4	c
1664	D12	12	4	d
1717	C12	12	3	a
1720	C12	12	3	b
1738	C12	12	3	c
1747	C12	12	3	d
1753	E11	11	5	a
1795	E11	11	5	b
1816	E11	11	5	c
1826	E11	11	5	d
1845	D11	11	4	a
1847	D11	11	4	b
1875	D11	11	4	c
1939	D11	11	4	d
1984	C11	11	3	a
2053	C11	11	3	b
2066	C11	11	3	c
2139	C11	11	3	d
2186	B11	11	2	a
2187	B11	11	2	b
2198	B11	11	2	c
2203	B11	11	2	d
2237	F10	10	6	a
2282	F10	10	6	b
2296	F10	10	6	c
2313	F10	10	6	d
2323	E10	10	5	a
2326	E10	10	5	b
2327	E10	10	5	c
2333	E10	10	5	d
2372	D10	10	4	a
2451	D10	10	4	b
2456	D10	10	4	c
2464	D10	10	4	d
2468	C10	10	3	a
2470	C10	10	3	b
2479	C10	10	3	c
2482	C10	10	3	d
2490	B10	10	2	a
2504	B10	10	2	b
2542	B10	10	2	c
2546	B10	10	2	d
2704	A10	10	1	a
2755	A10	10	1	b
2761	A10	10	1	c
2764	A10	10	1	d
2769	F9	9	6	a
